Date,IPO_Name,Issue_Size(crores),QIB,HNI,RII,Issue_price,Listing_Open,Listing_Close,Listing_Gains(%),CMP,Current_gains
27-10-10,Gyscoal Alloys,54.67,1.54,33.44,8.00,71.00,76.60,8.16,-88.51,4.51,-93.65
20-10-10,Oberoi Realty,1028.61,22.15,3.61,0.94,260.00,280.00,282.95,8.83,892.60,243.31
18-10-10,Commercial Eng,172.41,3.68,0.34,0.38,127.00,122.80,112.25,-11.61,42.60,-66.46
14-10-10,Sea TV Network,50.2,1.66,40.94,7.45,100.00,120.00,106.00,6,5.25,-94.75
14-10-10,Ashoka Buildcon,225,25.52,13.91,3.46,324.00,333.55,73.33,-77.37,96.70,-70.15
14-10-10,Bedmutha Ind,91.8,0.67,29.19,8.51,102.00,114.40,180.80,77.25,75.95,-25.54
13-10-10,Va Tech Wabag,472.6,36.13,100.98,8.55,1310.00,1655.00,341.88,-73.9,318.50,-75.69
12-10-10,Cantabil Retail,105,1.71,3.83,2.63,135.00,133.80,104.75,-22.41,909.35,573.59
12-10-10,Tecpro Systems,268.03,27.99,62.48,9.07,355.00,399.40,407.85,14.89,4.53,-98.72
08-10-10,Electrosteel St,0,5.86,28.58,6.19,11.00,11.15,11.25,2.27,31.05,182.27
08-10-10,Orient Green,900,2.09,0.64,0.18,47.00,45.70,44.90,-4.47,13.35,-71.60
08-10-10,Ramky Infra,530,4.52,1.45,0.99,450.00,450.00,387.35,-13.92,220.15,-51.08
06-10-10,Career Point,115,47.45,101.93,31.74,310.00,461.00,632.35,103.98,117.05,-62.24
06-10-10,Eros Intl,350,25.79,73.40,11.95,175.00,213.55,190.05,8.6,27.40,-84.34
05-10-10,Sasta Sundar,147.5,5.91,35.88,11.04,118.00,135.10,110.90,-6.02,407.00,244.92
01-10-10,Tirupati Inks,51.5,1.78,23.18,12.59,43.00,53.95,36.65,-14.77,1.59,-96.30
29-09-10,Indosolar,357,1.44,1.30,1.81,29.00,29.75,23.70,-18.28,4.21,-85.48
09-09-10,Gujarat Pipavav,500,13.20,85.70,9.15,46.00,56.25,54.05,17.5,92.50,101.09
25-08-10,Prakash Steelag,68.75,1.27,10.91,6.62,110.00,118.55,18.80,-82.91,6.31,-94.26
18-08-10,Bajaj Consumer ,297,20.19,53.49,6.62,660.00,730.00,151.65,-77.02,172.75,-73.83
16-08-10,Bharat Fin,1653.97,20.38,18.26,2.81,985.00,1036.00,1088.58,10.52,898.20,-8.81
28-07-10,Shri Aster,53.1,0.01,12.46,7.41,118.00,127.70,199.10,68.73,1.28,-98.92
21-07-10,Hindustan Media,270,8.98,3.39,1.00,166.00,177.95,189.20,13.98,69.25,-58.28
16-07-10,Technofab Engg,71.76,4.28,48.85,10.03,240.00,265.00,295.65,23.19,6.85,-97.15
01-07-10,Parabolic Drugs,200,1.48,1.20,0.40,75.00,76.00,64.80,-13.6,5.70,-92.40
21-05-10,Jaypee Infra,1650,1.77,1.15,0.61,102.00,98.00,91.30,-10.49,3.40,-96.67
20-05-10,SJVN,1079,9.03,3.39,3.12,26.00,27.10,25.05,-3.65,30.30,16.54
19-05-10,GB Global,107.9,7.97,10.52,2.81,130.00,131.00,133.65,2.81,9.80,-92.46
18-05-10,Tarapur Trans,63.75,0.03,5.08,2.74,75.00,75.00,56.90,-24.13,4.99,-93.35
13-05-10,NEL HOLDINGS SO,405,2.54,0.22,0.16,54.00,50.00,50.95,-5.65,4.09,-92.43
10-05-10,Talwalkars Fitn,77.44,35.43,51.48,8.43,128.00,138.00,162.60,27.03,1.45,-98.87
16-04-10,Goenka Diamond,145,0.78,2.99,0.66,135.00,130.00,12.79,-90.53,3.17,-97.65
12-04-10,Intrasoft Tech,53.65,21.97,21.60,13.51,145.00,140.00,159.35,9.9,214.15,47.69
09-04-10,Shree Ganesh,385.29,1.38,6.13,1.39,260.00,258.85,163.25,-37.21,0.82,-99.68
06-04-10,Persistent,168.01,144.43,107.73,21.69,310.00,400.00,204.00,-34.19,"3,858.30",1144.61
05-04-10,Pradip Overseas,116.6,8.57,45.35,10.53,110.00,120.00,89.29,-18.83,1.14,-98.96
30-03-10,ILandFS Trans,700,52.61,39.39,4.56,258.00,287.00,253.68,-1.67,5.17,-98.00
29-03-10,DQ Entertain,128.38,93.86,272.88,19.45,80.00,135.00,108.55,35.69,1.03,-98.71
18-03-10,United Bank,330,47.08,39.15,9.80,66.00,77.00,68.80,4.24,4.48,-93.21
11-03-10,Man Infra,142,96.06,104.57,10.26,252.00,335.00,46.43,-81.58,112.05,-55.54
10-03-10,Texmo Pipes,45,1.02,30.50,7.26,90.00,92.80,137.25,52.5,78.80,-12.44
03-03-10,ARSS Infra,103,49.34,124.53,18.55,450.00,640.00,736.30,63.62,31.95,-92.90
25-02-10,Hathway Cable,735.4,1.43,4.29,0.28,240.00,246.00,41.56,-82.68,19.60,-91.83
24-02-10,DB Realty,1500,1.35,1.21,0.01,468.00,452.10,455.40,-2.69,107.60,-77.01
24-02-10,Emmbi Ind,43.08,0.43,5.55,0.46,45.00,46.00,28.65,-36.33,101.45,125.44
23-02-10,Aqua Logistics,150,0.26,5.07,3.00,220.00,225.00,24.46,-88.88,1.40,-99.36
19-02-10,Thangamayil,0,0.52,1.52,2.26,75.00,70.00,71.10,-5.2,"1,115.00",1386.67
15-02-10,Syncom Health,56.25,0.99,16.60,6.25,75.00,88.00,87.85,17.13,4.06,-94.59
15-02-10,Vascon Engineer,199.8,1.12,3.65,0.62,165.00,155.90,146.38,-11.28,26.50,-83.94
08-02-10,Jubilant Food,328.7,59.39,51.95,3.79,145.00,160.00,114.50,-21.03,"2,997.15",1967.00
03-02-10,Infinite Comp,189.8,48.44,106.02,11.08,165.00,178.35,184.51,11.82,473.75,187.12
